count,x1,y1,x2,y2
0,5565,6175,5632,6222
1,5553,6111,5568,6155
2,5636,6208,5572,6169
3,5549,6076,5599,6132
4,5638,6203,5626,6178
5,5623,6170,5556,6101
6,5591,6178,5590,6170
7,5564,6110,5597,6117
8,5616,6155,5622,6145
9,5649,6146,5639,6166
10,5623,6182,5582,6129
11,5605,6165,5581,6130
12,5663,6193,5608,6147
13,5611,6143,5595,6148
14,5627,6155,5624,6156
15,5634,6161,5555,6081
16,5541,6126,5602,6117
17,5606,6179,5622,6195
18,5542,6080,5643,6116
19,5603,6174,5642,6145
20,5617,6175,5628,6140
21,5623,6169,5563,6116
22,5555,6159,5626,6178
23,5598,6099,5647,6167
24,5621,6230,5583,6189
25,5552,6071,5608,6141
26,5534,6093,5660,6186
27,5660,6186,5613,6200
28,5576,6191,5639,6181
29,5545,6130,5586,6183
30,5586,6183,5567,6101
31,5544,6131,5569,6155
32,5606,6163,5610,6146
33,5565,6128,5536,6104
34,5584,6167,5626,6156
35,5669,6252,5604,6127
36,5555,6091,5618,6187
37,5587,6142,5565,6098
38,5616,6162,5642,6202
39,5555,6134,5596,6181
40,5554,6087,5640,6194
41,5652,6131,5563,6085
42,5580,6140,5645,6187
43,5622,6148,5565,6098
44,5590,6125,5712,6247
45,5638,6145,5600,6087
46,5691,6230,5587,6114
47,5628,6129,5602,6145
48,5587,6143,5608,6130
49,5642,6192,5636,6171
50,5598,6135,5547,6066
51,5604,6150,5611,6151
52,5654,6164,5606,6187
53,5586,6060,5602,6132
54,5626,6143,5621,6208
55,5587,6125,5676,6232
56,5516,6076,5619,6172
57,5599,6159,5593,6139
58,5638,6191,5609,6136
59,5578,6134,5669,6229
60,5601,6174,5610,6168
61,5588,6130,5607,6114
62,5598,6098,5585,6172
63,5626,6178,5584,6167
64,5541,6133,5682,6238
65,5590,6121,5640,6170
66,5615,6171,5589,6116
67,5668,6241,5675,6207
68,5620,6127,5730,6231
69,5671,6191,5653,6202
70,5650,6182,5657,6177
71,5651,6211,5630,6178
72,5571,6104,5600,6121
73,5725,6256,5652,6192
74,5654,6158,5648,6185
75,5637,6204,5635,6171
76,5592,6129,5606,6212
77,5587,6130,5605,6174
78,5650,6153,5605,6168
79,5697,6239,5636,6204
80,5655,6215,5649,6193
81,5694,6178,5637,6192
82,5595,6177,5664,6207
83,5624,6206,5618,6199
84,5643,6186,5665,6184
85,5596,6123,5731,6272
86,5686,6173,5630,6187
87,5734,6272,5683,6214
88,5716,6171,5686,6168
89,5712,6186,5641,6153
90,5719,6207,5737,6191
91,5693,6220,5820,6263
92,5842,6251,5786,6186
93,5802,6169,5778,6184
94,5825,6250,5763,6200
95,5782,6166,5803,6203
96,5815,6244,5817,6274
97,5867,6264,5928,6319
98,5876,6292,5796,6231
99,7349,7825,5556,6320
100,5766,6143,5848,6198
101,5886,6279,5520,6364
102,5520,6364,5698,6307
103,5691,6254,5736,6251
104,5786,6227,5790,6311
105,5766,6238,5805,6267
106,5743,6342,5758,6402
107,5795,6405,5714,6318
108,5726,6345,5714,6358
109,5720,6362,5693,6361
110,5679,6386,5693,6361
111,5673,6393,5685,6393
112,5679,6386,5648,6355
113,5656,6399,5629,6338
114,5673,6393,5672,6406
115,5629,6363,5580,6289
116,5511,6179,5625,6251
117,5550,6158,5565,6203
118,5555,6135,5589,6214
119,5689,6317,5472,6099
120,5428,6076,5490,6124
121,5470,6091,5493,6155
122,5583,6132,5590,6191
123,5652,6251,5567,6159
124,5609,6124,5657,6187
125,5669,6179,5716,6180
126,5743,6213,5803,6250
127,5781,6212,5764,6169
128,5733,6142,5752,6176
129,5820,6219,5769,6187
130,5755,6181,5777,6214
131,5763,6258,5879,6280
132,5890,6290,5891,6275
133,5891,6275,5763,6186
134,5763,6186,5774,6158
135,5691,6063,5751,6161
136,5496,6359,5549,6335
137,5704,6356,5660,6297
138,5799,6268,5818,6300
139,5806,6308,5747,6280
140,5742,6340,5713,6391
141,5821,6419,5706,6364
142,5750,6397,5749,6302
143,5668,6301,5702,6352
144,5667,6345,5695,6306
145,5662,6358,0,0
146,5591,6193,5571,6100
147,5647,6177,5652,6180
148,5668,6164,5745,6169
149,5787,6166,5813,6242
150,5759,6208,5752,6200
151,5737,6144,5785,6161
152,5763,6186,5771,6145
153,5794,6245,5776,6212
154,5829,6202,5754,6168
155,5761,6234,5827,6285
156,5837,6255,5825,6227
157,5786,6276,5846,6261
158,5892,6312,5795,6207
159,5794,6259,5693,6121
160,5749,6159,5766,6130
161,5801,6173,5793,6170
162,5847,6167,5853,6191
163,5716,6315,5595,6356
164,5692,6350,5694,6294
165,5775,6239,5768,6187
166,5829,6214,5749,6250
167,5784,6288,5815,6306
168,5815,6306,5823,6292
169,5775,6302,5722,6315
170,5699,6312,5706,6345
171,5775,6419,5691,6368
172,5753,6388,5716,6355
173,5684,6346,5703,6296
174,5723,6360,5730,6375
175,5681,6339,5699,6382
176,5656,6338,5641,6336
177,5707,6375,5667,6362
178,5683,6411,5636,6358
179,5680,6375,5624,6366
180,5640,6375,5692,6399
181,5630,6398,5652,6386
182,5718,6459,5653,6400
183,5745,6433,5656,6370
184,5728,6450,5635,6368
185,5654,6401,5548,6297
186,5632,6308,5561,6316
187,5474,6171,5456,6157
188,5515,6170,5507,6183
189,5523,6219,5600,6258
190,5497,6177,5585,6242
191,5541,6174,5503,6164
192,5525,6205,5635,6296
193,5555,6215,5559,6232
194,5554,6201,5485,6120
195,5556,6196,5644,6279
196,5522,6181,5473,6094
197,5496,6109,5544,6159
198,5497,6144,5460,6121
199,5442,6069,5489,6130
200,5509,6144,5569,6208
201,5545,6183,5582,6186
202,5571,6155,5583,6192
203,5580,6224,5578,6196
204,5593,6170,5646,6226
205,5601,6174,5627,6192
206,5622,6135,5655,6201
207,5657,6168,5667,6182
208,5701,6209,5723,6192
209,5708,6215,5726,6196
210,5734,6182,5770,6203
211,5817,6232,5800,6205
212,5765,6182,5791,6212
