count,x1,y1,x2,y2
0,1425,1037,1411,1289
1,1439,1009,1422,1290
2,1431,1018,1404,1316
3,1446,1010,1392,1292
4,1428,1017,1408,1269
5,1425,1038,1423,1300
6,1411,1008,1421,1280
7,1419,1008,1420,1285
8,1449,1021,1436,1270
9,1416,1002,1427,1307
10,1444,1035,1381,1292
11,1449,997,1426,1287
12,1475,1025,1442,1295
13,1398,1013,1413,1276
14,1408,1003,1431,1314
15,1428,1000,1399,1286
16,1413,1010,1406,1292
17,1443,999,1415,1276
18,1419,1013,1426,1267
19,1380,1013,1393,1290
20,1387,1017,1405,1295
21,1454,1044,1419,1306
22,1412,1025,1430,1290
23,1406,1038,1417,1266
24,1416,1005,1403,1289
25,1428,1007,1426,1295
26,1435,1001,1426,1305
27,1438,1060,1421,1279
28,1401,1014,1430,1284
29,1430,984,1418,1299
30,1398,1028,1402,1295
31,1422,987,1415,1282
32,1417,1005,1405,1296
33,1414,1016,1417,1263
34,1382,1047,1379,1288
35,1419,997,1412,1285
36,1432,1026,1427,1309
37,1448,966,1410,1312
38,1415,985,1413,1325
39,1411,1006,1420,1294
40,1418,1005,1394,1306
41,1413,1005,1403,1286
42,1430,1007,1424,1284
43,1410,1024,1411,1295
44,1439,1009,1430,1260
45,1417,1002,1400,1295
46,1433,1008,1394,1272
47,1415,1022,1424,1270
48,1440,998,1427,1291
49,1433,1021,1423,1268
50,1443,1029,1384,1276
51,1421,1038,1392,1288
52,1421,1002,1436,1290
53,1424,989,1429,1282
54,1402,993,1435,1299
55,1394,1038,1404,1278
56,1423,1007,1400,1291
57,1437,995,1398,1286
58,1423,1029,1402,1293
59,1377,1015,1407,1242
60,1434,1024,1404,1272
61,1431,1027,1420,1262
62,1425,1023,1424,1261
63,1421,1025,1439,1292
64,1419,1013,1416,1299
65,1435,1011,1434,1277
66,1452,988,1420,1272
67,1436,1027,1405,1283
68,1419,1020,1389,1280
69,1427,1019,1434,1282
70,1429,1008,1409,1288
71,1404,1017,1438,1275
72,1422,1017,1405,1268
73,1416,1008,1398,1282
74,1423,1015,1392,1293
75,1397,993,1420,1286
76,1446,1028,1411,1282
77,1451,1017,1416,1299
78,1431,998,1403,1263
79,1425,1014,1409,1276
80,1462,1011,1423,1277
81,1436,1009,1408,1285
82,1433,1019,1391,1274
83,1431,1023,1414,1268
84,1396,1034,1413,1282
85,1411,1021,1407,1300
86,1424,1024,1414,1285
87,1408,1043,1404,1283
88,1444,1036,1413,1287
89,1421,1037,1423,1291
