count,x1,y1,x2,y2
0,-67,629,1340,1183
1,-35,613,1327,1179
2,7,636,1367,1172
3,-21,623,1353,1171
4,-44,626,1350,1153
5,-55,625,1355,1160
6,-45,635,1323,1158
7,-45,647,1328,1142
8,-58,612,1321,1149
9,-54,609,1323,1167
10,-51,601,1342,1176
11,-39,622,1314,1152
12,-51,610,1337,1168
13,-37,618,1364,1191
14,-38,610,1371,1197
15,-61,625,1329,1192
16,-56,625,1360,1181
17,-51,618,1385,1199
18,-45,611,1362,1177
19,-18,624,1392,1193
20,-49,618,1383,1215
21,-56,621,1343,1176
22,-39,612,1333,1188
23,-27,637,1334,1171
24,-62,603,1316,1182
25,-34,653,1359,1182
26,-47,624,1368,1157
27,-52,613,1341,1170
28,-45,623,1373,1192
29,-58,642,1343,1169
30,-14,600,1354,1165
31,-33,619,1371,1175
32,-55,617,1389,1163
33,-71,634,1349,1180
34,-77,589,1382,1188
35,-41,600,1377,1194
36,-23,640,1337,1168
37,-67,601,1380,1184
38,-51,624,1359,1186
39,-35,620,1341,1200
40,-58,612,1361,1180
41,-38,604,1336,1170
42,-33,626,1358,1184
43,-88,610,1342,1161
44,-37,609,1369,1186
45,0,631,1371,1197
46,-70,604,1368,1221
47,-68,608,1355,1177
48,-67,627,1365,1186
49,-49,618,1305,1182
50,-21,608,1386,1171
51,-38,614,1362,1178
52,-32,639,1357,1198
53,-11,611,1381,1202
54,-65,592,1354,1176
55,-45,593,1364,1201
56,-20,615,1356,1206
57,-59,623,1376,1207
58,-20,608,1369,1194
59,-56,629,1353,1130
60,-58,622,1358,1207
61,-76,610,1333,1132
62,-34,620,1394,1193
63,-5,598,1363,1189
64,-64,614,1346,1184
65,-34,588,1384,1189
66,-8,614,1343,1194
67,-34,637,1351,1195
68,-37,612,1373,1219
69,-53,609,1356,1205
70,-37,637,1361,1173
71,-43,662,1385,1189
72,-30,635,1346,1189
73,-34,615,1317,1181
74,-65,642,1380,1168
75,-24,635,1383,1183
76,-55,626,1327,1168
77,-52,599,1353,1170
78,-19,621,1321,1184
79,-49,582,1365,1154
80,-11,616,1331,1150
81,-45,610,1339,1169
82,-74,619,1382,1189
83,-39,625,1352,1175
84,-21,638,1361,1187
85,-68,611,1343,1146
86,-52,629,1333,1172
87,-31,625,1358,1185
88,-50,629,1372,1184
89,-11,630,1367,1168
90,-28,642,1379,1194
91,-45,610,1308,1150
92,-17,639,1339,1159
93,-39,617,1358,1138
94,-29,608,1345,1163
95,-6,643,1382,1213
96,-63,602,1387,1200
97,-13,612,1364,1167
98,-59,604,1399,1172
99,-52,621,1370,1172
100,-38,650,1369,1173
101,-35,628,1338,1183
102,-56,615,1328,1128
103,-42,629,1334,1171
104,-18,624,1364,1158
105,-42,643,1348,1169
106,-44,624,1366,1185
107,-21,641,1390,1164
108,-21,646,1374,1191
109,-9,639,1389,1204
110,-49,637,1374,1213
111,-31,617,1368,1186
112,-56,625,1362,1186
113,-17,621,1368,1149
114,-22,608,1348,1198
115,-26,636,1330,1177
116,-54,643,1352,1172
117,-14,613,1341,1150
118,-43,630,1364,1168
119,-29,633,1359,1158
120,-20,613,1354,1188
121,-36,623,1372,1135
122,-21,616,1370,1165
123,-27,627,1348,1175
124,-47,626,1353,1164
125,-44,616,1357,1177
126,-36,607,1347,1197
127,-38,608,1336,1197
128,-21,645,1370,1192
129,-56,619,1348,1201
130,-39,597,1325,1196
131,-41,585,1283,1191
132,-52,637,1352,1219
133,-62,635,1363,1213
134,-53,621,1307,1205
135,-44,587,1302,1181
136,-80,626,1326,1211
137,-48,611,1370,1218
138,-29,627,1396,1222
139,-32,633,1371,1200
140,-31,637,1328,1183
141,-41,621,1337,1152
142,-37,635,1343,1197
143,-51,597,1367,1180
144,-51,614,1363,1180
145,-59,635,1367,1212
146,-36,622,1386,1188
147,-58,635,1338,1196
148,-48,599,1385,1194
149,-45,629,1324,1207
150,-85,612,1340,1179
151,-58,599,1352,1168
152,8,630,1355,1170
153,-88,618,1345,1181
154,-46,651,1332,1193
155,-64,644,1350,1182
156,-24,632,1359,1201
157,-42,649,1344,1205
158,-40,606,1340,1163
159,-76,635,1378,1202
160,-66,642,1325,1185
161,-64,620,1368,1201
162,-48,609,1349,1202
163,-50,630,1355,1207
164,-14,640,1342,1205
165,-39,611,1327,1183
166,-45,633,1350,1167
167,-23,643,1354,1171
168,-83,609,1328,1194
169,-71,626,1363,1207
170,-38,626,1329,1183
171,-50,612,1325,1200
172,-43,623,1312,1153
173,-30,585,1368,1212
174,-67,602,1377,1222
175,-32,599,1354,1179
176,-35,613,1326,1192
177,-33,659,1358,1208
178,-29,628,1319,1195
179,-53,630,1348,1206
180,-57,619,1347,1188
181,-29,611,1323,1189
182,-26,594,1357,1226
