count,x1,y1,x2,y2
0,1769,2221,2825,1391
1,1751,2184,2873,1366
2,1765,2143,2846,1387
3,1700,2146,2968,1466
4,1743,2125,2819,1433
5,1794,2067,2813,1413
6,1708,2045,2947,1520
7,1721,1989,2779,1172
8,1739,2001,2745,1223
9,1819,1867,2952,1246
10,1746,1923,2949,1307
11,1793,1873,2936,1348
12,1725,1778,2836,1363
13,1832,1708,2927,1456
14,1804,1777,2809,1489
15,1921,1829,2867,1487
16,1973,1777,2906,1555
17,1995,1805,2873,1490
18,1935,1796,2949,1551
19,1851,1737,2914,1567
20,1846,1656,2886,1542
21,1811,1676,2959,1608
22,1758,1585,2815,1621
23,1759,1553,2822,1618
24,1763,1570,2830,1594
25,1759,1523,2884,1640
26,1743,1485,2893,1635
27,1717,1452,2917,1650
28,1746,1425,2836,1612
29,1773,1478,2831,1699
30,1807,1423,2928,1729
31,1794,1449,2942,1749
32,1788,1364,3082,1811
33,1813,1363,3010,1809
34,1859,1376,2969,1837
35,2061,1456,3021,1843
36,2247,1533,3003,1884
37,2127,1486,3008,1947
38,2154,1460,2968,2022
39,2126,1431,2831,1994
40,2199,1442,2895,2029
41,2172,1381,2970,2051
42,2188,1373,2943,2087
43,2158,1365,2875,2124
44,2144,1334,2968,2191
45,2094,1266,2764,2159
46,2081,1244,2759,2142
47,2111,1237,2653,2078
48,2172,1232,2707,2088
49,2168,1224,2675,2137
50,2235,1239,2770,2145
51,2268,1255,2708,2161
52,2247,1216,2760,2204
53,2289,1244,2874,2219
54,2288,1156,2818,2275
55,2314,1143,2808,2252
56,2327,1156,2745,2233
57,2371,1133,2704,2224
58,2403,1144,2968,2360
59,2451,1174,3023,2298
60,2432,1160,2872,2354
61,2493,1150,2860,2358
62,2532,1141,2806,2310
63,2502,1204,2820,2303
64,2471,1160,2778,2233
65,2449,1209,2669,2285
66,2477,1235,2668,2320
67,2483,1218,2612,2294
68,2500,1187,2582,2334
69,2544,1149,2564,2325
70,2602,1200,2593,2330
71,2666,1207,2537,2326
72,2721,1229,2517,2373
73,2684,1272,2565,2386
74,2701,1242,2568,2379
75,2654,1270,2532,2409
76,2651,1239,2539,2426
77,2684,1256,2503,2463
78,2806,1222,2475,2499
79,2825,1238,2521,2468
80,2864,1272,2430,2496
81,2934,1251,2418,2469
82,3047,1236,2520,2427
83,2950,1243,2580,2424
84,2883,1240,2568,2401
85,2984,1294,2607,2451
86,2917,1278,2605,2388
87,2943,1300,2263,2738
88,2947,1359,2376,2572
89,2898,1362,2443,2493
90,2869,1336,2504,2499
91,2966,1388,2474,2478
92,2930,1411,2446,2487
93,2843,1402,2426,2508
94,2891,1464,2420,2450
95,2878,1500,2369,2425
96,2877,1481,2333,2399
97,2857,1473,2385,2390
98,3018,1530,2369,2369
99,3016,1517,2264,2377
100,3037,1579,2179,2352
101,3129,1593,2158,2331
102,3036,1576,2313,2294
103,3063,1647,2391,2247
104,3070,1665,2337,2264
105,3108,1718,2284,2261
106,3098,1722,2193,2277
107,3093,1761,1924,2391
108,3072,1737,1836,2387
109,3004,1788,1885,2317
110,2847,1763,1917,2272
111,3042,1827,1975,2207
112,2975,1801,1970,2171
113,2983,1893,1971,2107
114,2939,1913,1872,2069
115,2952,1960,1830,2061
116,2970,1989,1881,2085
117,3006,2040,1868,2096
118,3057,2111,1809,2040
119,3062,2125,1806,2045
120,3200,2170,1870,2091
121,3123,2174,1891,2038
122,3063,2218,1923,2010
123,3008,2178,1819,2019
124,2937,2204,1870,1974
125,2893,2170,1853,1975
126,2961,2131,1819,1915
127,2985,2183,1798,1873
128,2907,2210,1847,1866
129,3034,2259,1886,1812
130,2924,2266,1853,1791
131,2976,2280,1856,1763
132,2928,2260,1880,1767
133,2796,2224,2011,1784
134,3280,2471,2108,1801
135,3223,2445,2161,1785
136,3052,2408,2157,1779
137,2846,2347,2111,1722
138,2816,2366,2109,1704
139,2819,2332,2038,1667
140,2789,2378,1959,1643
141,2751,2417,1973,1596
142,2829,2429,1939,1577
143,2807,2432,1906,1570
144,2756,2471,1965,1569
145,2701,2431,1955,1540
146,2743,2476,2031,1546
147,2654,2451,2109,1545
148,2412,2320,2145,1570
149,2444,2381,2170,1553
150,2403,2393,2007,1654
151,2439,2426,1884,1630
152,2467,2440,2022,1544
153,2442,2411,2001,1495
154,2186,2672,2127,1578
155,2338,2530,2074,1515
156,2313,2494,2005,1412
157,2328,2480,1943,1355
158,2302,2505,1898,1210
159,2310,2539,2161,1374
160,2371,2533,2099,1421
161,2384,2512,2041,1530
162,2416,2541,2163,1506
163,2285,2692,2175,1481
